
Code,Display,Definition,Status,DeprecatedVersion,ConceptComment,ConceptCommentPublished
S04,SRM/SRR - Request appointment cancellation,SRM/SRR - Request appointment cancellation,A,,,
S05,SRM/SRR - Request appointment discontinuation,SRM/SRR - Request appointment discontinuation,A,,,
S06,SRM/SRR - Request appointment deletion,SRM/SRR - Request appointment deletion,A,,,
S07,SRM/SRR - Request addition of service/resource on appointment,SRM/SRR - Request addition of service/resource on appointment,A,,,
S08,SRM/SRR - Request modification of service/resource on appointment,SRM/SRR - Request modification of service/resource on appointment,A,,,
S09,SRM/SRR - Request cancellation of service/resource on appointment,SRM/SRR - Request cancellation of service/resource on appointment,A,,,
S10,SRM/SRR - Request discontinuation of service/resource on appointment,SRM/SRR - Request discontinuation of service/resource on appointment,A,,,
S11,SRM/SRR - Request deletion of service/resource on appointment,SRM/SRR - Request deletion of service/resource on appointment,A,,,
S12,SIU/ACK - Notification of new appointment booking,SIU/ACK - Notification of new appointment booking,A,,,
S13,SIU/ACK - Notification of appointment rescheduling,SIU/ACK - Notification of appointment rescheduling,A,,,
S14,SIU/ACK - Notification of appointment modification,SIU/ACK - Notification of appointment modification,A,,,
S15,SIU/ACK - Notification of appointment cancellation,SIU/ACK - Notification of appointment cancellation,A,,,
S16,SIU/ACK - Notification of appointment discontinuation,SIU/ACK - Notification of appointment discontinuation,A,,,
S17,SIU/ACK - Notification of appointment deletion,SIU/ACK - Notification of appointment deletion,A,,,
S18,SIU/ACK - Notification of addition of service/resource on appointment,SIU/ACK - Notification of addition of service/resource on appointment,A,,,
S19,SIU/ACK - Notification of modification of service/resource on appointment,SIU/ACK - Notification of modification of service/resource on appointment,A,,,
S20,SIU/ACK - Notification of cancellation of service/resource on appointment,SIU/ACK - Notification of cancellation of service/resource on appointment,A,,,
S21,SIU/ACK - Notification of discontinuation of service/resource on appointment,SIU/ACK - Notification of discontinuation of service/resource on appointment,A,,,
S22,SIU/ACK - Notification of deletion of service/resource on appointment,SIU/ACK - Notification of deletion of service/resource on appointment,A,,,
S23,SIU/ACK - Notification of blocked schedule time slot(s),SIU/ACK - Notification of blocked schedule time slot(s),A,,,
S24,"SIU/ACK - Notification of opened (""unblocked"") schedule time slot(s)","SIU/ACK - Notification of opened (""unblocked"") schedule time slot(s)",A,,,
S25,SQM/SQR - Schedule query message and response,SQM/SQR - Schedule query message and response,D,,Deprecated,Deprecated
S26,SIU/ACK Notification that patient did not show up for schedule appointment,SIU/ACK Notification that patient did not show up for schedule appointment,A,,,
S27,SIU/ACK - Broadcast Notification of Scheduled Appointments,SIU/ACK - Broadcast Notification of Scheduled Appointments,A,,,
S28,SLR/SLS - Request new sterilization lot,SLR/SLS - Request new sterilization lot,A,,,
S29,SLR/SLS - Request Sterilization lot deletion,SLR/SLS - Request Sterilization lot deletion,A,,,
S30,STI/STS - Request item,STI/STS - Request item,A,,,
S31,SDR/SDS - Request anti-microbial device data,SDR/SDS - Request anti-microbial device data,A,,,
S32,SMD/SMS - Request anti-microbial device cycle data,SMD/SMS - Request anti-microbial device cycle data,A,,,
S33,STC/ACK - Notification of sterilization configuration,STC/ACK - Notification of sterilization configuration,A,,,
S34,SLN/ACK - Notification of sterilization lot,SLN/ACK - Notification of sterilization lot,A,,,
S35,SLN/ACK - Notification of sterilization lot deletion,SLN/ACK - Notification of sterilization lot deletion,A,,,
S36,SDN/ACK - Notification of anti-microbial device data,SDN/ACK - Notification of anti-microbial device data,A,,,
S37,SCN/ACK - Notification of anti-microbial device cycle data,SCN/ACK - Notification of anti-microbial device cycle data,A,,,
S38,Containers Prepared for Specimen Collection,"Describes the event before specimen collection, when containers have been prepared",N,,,
S39,Specimen Collection Successful,Describes the event when specimen collection was successful,N,,,
S40,Specimen Collection Unsuccessful,Describes the event when specimen collection was not successful and provides a means to document the reason,N,,,
S41,Specimen Departed,Describes the event when a specimen has been moved from a location,N,,,
S42,Specimen Arrived,Describes the event when a specimen has been moved to a location,N,,,
S43,Specimen Accepted,Describes the event when a specimen has been accepted on the receiver side of a specimen movement,N,,,
S44,Specimen Rejected,Describes the event when a specimen has been rejected by the receiver side of a specimen movement,N,,,
S45,Specimen Re-identified,Describes the event when a specimen has been assigned an identifier,N,,,
S46,Specimen De-identified,Describes the event when a specimen identifier has been removed to anonymize it,N,,,
S47,Specimen Sent to Archive,Describes the event when a specimen has been moved into storage,N,,,
S48,Specimen Retrieved from Archive,Describes the event when a specimen has been moved out of storage,N,,,
S49,Specimen Disposed of,Describes the event when a specimen has been permanently disposed of,N,,,
S50,"Specimen Procedure Step Successful , with Derived Specimen(s)",Describes the event when one or more specimen(s) has(ve) been created from one or more specimen(s),N,,,
S51,"Specimen Procedure Step Successful, no Derived Specimen(s)",Describes the event when a specimen has been successfully processed without producing any child specimen(s),N,,,
S52,Specimen Procedure Step Unsuccessful,Describes the event when a specimen could not be successfully processed and provides a means to document the reason,N,,,
T01,MDM/ACK - Original document notification,MDM/ACK - Original document notification,A,,,
T02,MDM/ACK - Original document notification and content,MDM/ACK - Original document notification and content,A,,,
T03,MDM/ACK - Document status change notification,MDM/ACK - Document status change notification,A,,,
T04,MDM/ACK - Document status change notification and content,MDM/ACK - Document status change notification and content,A,,,
T05,MDM/ACK - Document addendum notification,MDM/ACK - Document addendum notification,A,,,
T06,MDM/ACK - Document addendum notification and content,MDM/ACK - Document addendum notification and content,A,,,
T07,MDM/ACK - Document edit notification,MDM/ACK - Document edit notification,A,,,
T08,MDM/ACK - Document edit notification and content,MDM/ACK - Document edit notification and content,A,,,
T09,MDM/ACK - Document replacement notification,MDM/ACK - Document replacement notification,A,,,
T10,MDM/ACK - Document replacement notification and content,MDM/ACK - Document replacement notification and content,A,,,
T11,MDM/ACK - Document cancel notification,MDM/ACK - Document cancel notification,A,,,
T12,QRY/DOC - Document query,QRY/DOC - Document query,D,,Deprecated,Deprecated
U01,ESU/ACK - Automated equipment status update,ESU/ACK - Automated equipment status update,A,,,
U02,ESR/ACK - Automated equipment status request,ESR/ACK - Automated equipment status request,A,,,
U03,SSU/ACK - Specimen status update,SSU/ACK - Specimen status update,A,,,
U04,SSR/ACK - specimen status request,SSR/ACK - specimen status request,A,,,
U05,INU/ACK  - Automated equipment inventory update,INU/ACK  - Automated equipment inventory update,A,,,
U06,INR/ACK - Automated equipment inventory request,INR/ACK - Automated equipment inventory request,A,,,
U07,EAC/ACK - Automated equipment command,EAC/ACK - Automated equipment command,A,,,
U08,EAR/ACK - Automated equipment response,EAR/ACK - Automated equipment response,A,,,
U09,EAN/ACK - Automated equipment notification,EAN/ACK - Automated equipment notification,A,,,
U10,TCU/ACK - Automated equipment test code settings update,TCU/ACK - Automated equipment test code settings update,A,,,
U11,TCR/ACK - Automated equipment test code settings request,TCR/ACK - Automated equipment test code settings request,A,,,
U12,LSU/ACK - Automated equipment log/service update,LSU/ACK - Automated equipment log/service update,A,,,
U13,LSR/ACK - Automated equipment log/service request,LSR/ACK - Automated equipment log/service request,A,,,
U14,INR/ACK – Automated Equipment Inventory Request,INR/ACK – Automated Equipment Inventory Request,A,,,
V01,VXQ - Query for vaccination record,VXQ - Query for vaccination record,D,,Deprecated,Deprecated
V02,VXX - Response to vaccination query returning multiple PID matches,VXX - Response to vaccination query returning multiple PID matches,D,,Deprecated,Deprecated
V03,VXR - Vaccination record response,VXR - Vaccination record response,D,,Deprecated,Deprecated
V04,VXU - Unsolicited vaccination record update,VXU - Unsolicited vaccination record update,A,,,
Varies,"MFQ/MFR - Master files query (use event same as asking for e.g., M05 - location)","MFQ/MFR - Master files query (use event same as asking for e.g., M05 - location)",D,,,
W01,"ORU - Waveform result, unsolicited transmission of requested information","ORU - Waveform result, unsolicited transmission of requested information",D,,Deprecated,Deprecated
W02,"QRF - Waveform result, response to query","QRF - Waveform result, response to query",D,,Deprecated,Deprecated
